HH,AREA,GEN,Age at last birthday (Years),AGE,EMP,OCC,EDU,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
A002-12,1,1,44,3,1,9,2,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
A002-12,1,2,51,3,1,5,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A002-12,1,2,49,3,1,5,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A003-01,1,2,28,3,1,2,4,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A003-02,1,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-02,1,1,55,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-02,1,2,39,3,4,0,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
A003-03,1,2,53,3,1,5,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A003-03,1,1,55,3,1,3,3,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1
A003-04,1,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-04,1,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-04,1,2,33,3,4,0,4,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
A003-04,1,1,41,3,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A003-05,1,2,32,3,1,2,3,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
A003-05,1,2,59,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-06,1,1,22,2,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-07,1,2,38,3,1,2,4,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A003-07,1,1,16,2,5,0,3,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A003-07,1,2,57,3,1,7,3,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
A003-08,1,1,19,2,5,0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A003-08,1,2,53,3,1,5,3,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
A003-09,1,1,69,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-09,1,2,60,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003-10,1,1,41,3,1,2,4,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
A003-13,1,2,47,3,4,0,3,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
A003-13,1,1,24,2,1,9,3,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
A003-13,1,1,48,3,1,10,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
